iter	Logloss
0	0.6916378011
1	0.6899536218
2	0.6887866533
3	0.6873842565
4	0.6862768058
5	0.6845163652
6	0.6828753629
7	0.6818060482
8	0.6806061605
9	0.6795945003
10	0.6781540745
11	0.6766297694
12	0.6761350071
13	0.6745857625
14	0.6732318671
15	0.6718728902
16	0.6708654412
17	0.6699187207
18	0.6686781846
19	0.6675188707
20	0.6663253209
21	0.6655644249
22	0.6639035175
23	0.6625955694
24	0.6616330582
25	0.6604063249
26	0.6597338726
27	0.6581519055
28	0.65702612
29	0.656112226
30	0.6547099464
31	0.6542590821
32	0.6529936737
33	0.6520129334
34	0.6510508332
35	0.6496779192
36	0.648392679
37	0.6478539034
38	0.6471890376
39	0.6462050663
40	0.6452104893
41	0.6438474739
42	0.6427870195
43	0.6415319392
44	0.6407178804
45	0.6394941473
46	0.6388483028
47	0.6376776684
48	0.6365113146
49	0.6357451452
50	0.6347042264
51	0.6335662316
52	0.6322757199
53	0.6312696631
54	0.6301462658
55	0.6291188855
56	0.6278521639
57	0.627317418
58	0.6265564837
59	0.6254216839
60	0.6249792431
61	0.6244742975
62	0.6234496601
63	0.6220881579
64	0.6207778378
65	0.6196396914
66	0.6184946513
67	0.6179139543
68	0.6163584111
69	0.6147909902
70	0.6138367129
71	0.6134950144
72	0.6124305408
73	0.6119038788
74	0.6111011162
75	0.6101265812
76	0.6093903381
77	0.6080621901
78	0.6069829559
79	0.6060579453
80	0.6049472194
81	0.6035340724
82	0.6020851152
83	0.6011287508
84	0.5997660576
85	0.5988671618
86	0.5981236637
87	0.5971413028
88	0.5955509806
89	0.5940235341
90	0.5930263667
91	0.592246669
92	0.5911589076
93	0.5899497442
94	0.5890892548
95	0.5881982913
96	0.5873508765
97	0.5861487997
98	0.5850970841
99	0.5844100254
100	0.5833522552
101	0.5823443118
102	0.5814585089
103	0.5806480213
104	0.5797409195
105	0.578901401
106	0.5775694983
107	0.5767242745
108	0.5758085023
109	0.5750898496
110	0.5739864375
111	0.5729924493
112	0.5721511657
113	0.5712484883
114	0.570277545
115	0.5694677319
116	0.5687152349
117	0.5679431432
118	0.5672285995
119	0.5665716177
120	0.5659389606
121	0.5652547258
122	0.5645819563
123	0.5644882838
124	0.5634591818
125	0.5626979672
126	0.5617529172
127	0.5607153493
128	0.5601700936
129	0.5591057334
130	0.5585333423
131	0.557850227
132	0.5569946522
133	0.5563070248
134	0.5553635272
135	0.5543460531
136	0.5537838529
137	0.5529573625
138	0.5524683282
139	0.5515746441
140	0.5504001667
141	0.5494631519
142	0.5488276057
143	0.548154908
144	0.5476393431
145	0.5467609076
146	0.5459025218
147	0.5450762885
148	0.5443368921
149	0.543900273
150	0.5429845641
151	0.5421270135
152	0.5414678478
153	0.5403929594
154	0.5395877215
155	0.5389856712
156	0.5381653223
157	0.5371606016
158	0.536369071
159	0.5357341407
160	0.5349691539
161	0.5341069652
162	0.5335288559
163	0.5327078514
164	0.531744373
165	0.5312313813
166	0.5305372645
167	0.529168	0.51168	0.528169	0.51169	0.527170	0.5170	0.5269171	0.5171	0.526172	0.51172	0.525173	0.50173	0.524174	0.50174	0.524175	0.5081453707
176	0.5073989323
177	0.5068109943
178	0.5060939301
179	0.5051408543
180	0.504293401
181	0.5038863073
182	0.503362458
183	0.502770953
184	0.5018819717
185	0.5012563565
186	0.5005183569
187	0.499891796
188	0.4994723415
189	0.4986189754
190	0.4978880491
191	0.497663015
192	0.4965524916
193	0.4957513681
194	0.4951724452
195	0.495018254
196	0.494131636
197	0.4930941347
198	0.4924923006
199	0.4917910595
200	0.4911244314
201	0.4900311865
202	0.4898132016
203	0.4889852516
204	0.4881097846
205	0.4872856656
206	0.4867581692
207	0.486037396
208	0.4854637926
209	0.4845619667
210	0.4839035564
211	0.48319583
212	0.4825066122
213	0.4818962439
214	0.4817500539
215	0.4815617749
216	0.4809591389
217	0.4803426141
218	0.4796035431
219	0.4786322768
220	0.4781318477
221	0.4774540051
222	0.4763752929
223	0.4754462234
224	0.4747526506
225	0.4739156552
226	0.4731644063
227	0.472564273
228	0.4718275565
229	0.4711523583
230	0.4702714568
231	0.4697766169
232	0.4691263352
233	0.4687534048
234	0.4680738682
235	0.4672509569
236	0.4668261478
237	0.4662827623
238	0.4656708377
239	0.4653172357
240	0.4649025319
241	0.4641278343
242	0.4635427133
243	0.4629026791
244	0.4623300549
245	0.4617786555
246	0.4610591703
247	0.4607386934
248	0.4602784627
249	0.4595758988
250	0.458580278
251	0.4579757791
252	0.4573427533
253	0.4567543768
254	0.4564621407
255	0.4557105147
256	0.4553089128
257	0.4549132588
258	0.4543341069
259	0.4538952233
260	0.4537023387
261	0.4528847724
262	0.4527540179
263	0.4521973658
264	0.4518472751
265	0.4511864481
266	0.4504159777
267	0.4498163939
268	0.4492736369
269	0.4487201344
270	0.4481408412
271	0.447711762
272	0.4472226532
273	0.4462972211
274	0.4457744372
275	0.4451964228
276	0.4444009491
277	0.4438731421
278	0.4432177635
279	0.4429779802
280	0.4423217007
281	0.4417518092
282	0.4414584372
283	0.441033114
284	0.4404596208
285	0.4396404205
286	0.4391988471
287	0.4384699506
288	0.437917158
289	0.4372188959
290	0.436771488
291	0.4362928357
292	0.4357744654
293	0.4356186436
294	0.4350818437
295	0.4346280121
296	0.4340512596
297	0.4334265541
298	0.4329340418
299	0.43214921
300	0.4316555613
301	0.4309105455
302	0.4306780782
303	0.4301066655
304	0.4299107212
305	0.4297316847
306	0.4294389007
307	0.4288256361
308	0.428242914
309	0.4276458595
310	0.4271534465
311	0.4270936532
312	0.4264683328
313	0.425916925
314	0.425796067
315	0.4257650541
316	0.4252546964
317	0.4250058537
318	0.4247745523
319	0.4241789536
320	0.4240994142
321	0.423542748
322	0.4231431908
323	0.4225011663
324	0.4222246212
325	0.4216883305
326	0.4212761739
327	0.4208311102
328	0.4203736522
329	0.4199778644
330	0.4194142601
331	0.4188541394
332	0.4182882457
333	0.4177768292
334	0.417647337
335	0.4171120907
336	0.4165414189
337	0.4161596062
338	0.4154851729
339	0.414994667
340	0.4146217201
341	0.4139345714
342	0.4137155725
343	0.4134337138
344	0.4134161054
345	0.4130176364
346	0.4126545525
347	0.412360961
348	0.4121245327
349	0.4117396953
350	0.4113999538
351	0.4109774022
352	0.4104841231
353	0.410217204
354	0.4099433225
355	0.4095839926
356	0.4092865169
357	0.4087485807
358	0.4084922629
359	0.4080469305
360	0.4075797824
361	0.4069367625
362	0.4067398682
363	0.4062230505
364	0.4060537085
365	0.4054502519
366	0.4053556788
367	0.4048946879
368	0.4043347937
369	0.4038241223
370	0.4032687753
371	0.4027050575
372	0.4021760888
373	0.401667419
374	0.4010464961
375	0.4005236118
376	0.400153639
377	0.3996032869
378	0.3992743659
379	0.398772007
380	0.3979672625
381	0.3976367502
382	0.3969551911
383	0.3965915053
384	0.3960071345
385	0.3955276839
386	0.3949508824
387	0.3944246103
388	0.3937918492
389	0.3933391496
390	0.3926742981
391	0.3922392692
392	0.3919166432
393	0.3912879503
394	0.3907166328
395	0.3901941214
396	0.3901661729
397	0.389940884
398	0.3895457482
399	0.389012597
400	0.3885713734
401	0.3880594116
402	0.3876246958
403	0.3872173317
404	0.3868387392
405	0.3864175765
406	0.3860829099
407	0.3856246563
408	0.3854517353
409	0.3851065823
410	0.3846621805
411	0.3839693621
412	0.3835268999
413	0.3832474546
414	0.3829214057
415	0.3825368243
416	0.3819621552
417	0.3817643884
418	0.3814339535
419	0.3811411484
420	0.3806391625
421	0.3799856264
422	0.3796023401
423	0.3795640358
424	0.3791104808
425	0.378758759
426	0.3783911789
427	0.3780259234
428	0.3777773517
429	0.3775823921
430	0.3773659657
431	0.3769988708
432	0.3765975377
433	0.3764240815
434	0.3760120478
435	0.3754053621
436	0.3751268061
437	0.3748183564
438	0.3743809151
439	0.3739871375
440	0.3737197434
441	0.3733207489
442	0.3729688384
443	0.3725936137
444	0.3721706316
445	0.3719794272
446	0.3717398991
447	0.3711679108
448	0.3706677027
449	0.3704073275
450	0.3697637051
451	0.36932717
452	0.3690640392
453	0.3689836208
454	0.368580273
455	0.3684818424
456	0.3678851621
457	0.3675003915
458	0.3671585836
459	0.3669484417
460	0.3665754123
461	0.3660501351
462	0.3656398373
463	0.3655452761
464	0.3650865145
465	0.3646864793
466	0.3643407223
467	0.3642730575
468	0.3638664371
469	0.3635562086
470	0.3629592754
471	0.3627925191
472	0.3627481892
473	0.3625104538
474	0.3620768315
475	0.3618165024
476	0.3616761536
477	0.3613734061
478	0.361130979
479	0.3607723936
480	0.360278713
481	0.3599397606
482	0.3594584869
483	0.3591343859
484	0.3588351221
485	0.3585709005
486	0.3582012279
487	0.358173441
488	0.3576168494
489	0.3574992223
490	0.3569010684
491	0.3566646756
492	0.3561716924
493	0.3559326122
494	0.3554842741
495	0.3550010813
496	0.3547607641
497	0.3546161939
498	0.3541866682
499	0.353927966
500	0.35369483
501	0.3535926538
502	0.3531424304
503	0.3528253143
504	0.3524898205
505	0.3521861718
506	0.3517656367
507	0.3514386107
508	0.3510615204
509	0.3506027952
510	0.3505810387
511	0.3501862838
512	0.3498535997
513	0.3497897257
514	0.349529392
515	0.3490446504
516	0.3485244924
517	0.3483052197
518	0.34796003
519	0.3477646004
520	0.3472231565
521	0.3471924276
522	0.3469085874
523	0.346531982
524	0.3462476831
525	0.3462100088
526	0.3457793349
527	0.3455033905
528	0.3452079849
529	0.3444996794
530	0.3440811325
531	0.3438910131
532	0.3433646708
533	0.3429600118
534	0.3424918926
535	0.342189894
536	0.3418517315
537	0.3413303888
538	0.3410709839
539	0.3408364689
540	0.3404969066
541	0.3400753838
542	0.3399073709
543	0.3396863385
544	0.3394830937
545	0.3390727825
546	0.3386387175
547	0.3383378683
548	0.3380522642
549	0.3375430982
550	0.3373885615
551	0.3370053685
552	0.3368777043
553	0.3366421265
554	0.336281054
555	0.3359133291
556	0.3357373273
557	0.3355262434
558	0.3353792386
559	0.3351300972
560	0.3348260903
561	0.3347275611
562	0.3343967244
563	0.3343746256
564	0.3341630247
565	0.3337848007
566	0.3333732375
567	0.3331682049
568	0.3326988742
569	0.3322825446
570	0.3318631372
571	0.3314574433
572	0.331252931
573	0.3311354113
574	0.3309420937
575	0.3307150617
576	0.3304081429
577	0.3299644178
578	0.3298124384
579	0.3294498944
580	0.3290036847
581	0.3286592167
582	0.3284681029
583	0.3284445871
584	0.328127954
585	0.3277837315
586	0.3275337513
587	0.3272962932
588	0.3271472753
589	0.32684874
590	0.3265333395
591	0.3261132587
592	0.3257272422
593	0.325686854
594	0.3255028291
595	0.3252114113
596	0.3250069886
597	0.3247130309
598	0.3244477645
599	0.3242792418
600	0.3240702901
601	0.3238885068
602	0.3237403455
603	0.3234635571
604	0.323231005
605	0.3229457013
606	0.3227702811
607	0.3227516008
608	0.3224107024
609	0.3220596564
610	0.3216226109
611	0.3213368822
612	0.3208702758
613	0.3206030924
614	0.3203881172
615	0.3203572118
616	0.3201442676
617	0.3199541823
618	0.3196829398
619	0.3194068694
620	0.3191190347
621	0.3187596286
622	0.3186725977
623	0.3185065668
624	0.3183487181
625	0.317951919
626	0.3175837922
627	0.3173329168
628	0.3171043178
629	0.3167254046
630	0.3167095366
631	0.3165985964
632	0.3163836312
633	0.3162216452
634	0.3159837951
635	0.3157450786
636	0.3156940976
637	0.315505704
638	0.3153356151
639	0.3150354026
640	0.3148249418
641	0.314618291
642	0.3145136695
643	0.3142049478
644	0.313839167
645	0.3135087221
646	0.3132808174
647	0.3129087486
648	0.3126638443
649	0.3125212371
650	0.312177707
651	0.3120535379
652	0.3117369043
653	0.3116665506
654	0.3114571793
655	0.3110673427
656	0.3108647629
657	0.3105156227
658	0.310204596
659	0.3098083952
660	0.3095701983
661	0.3092120303
662	0.3090911524
663	0.3090110639
664	0.3088322705
665	0.3084254125
666	0.3082594853
667	0.3080417182
668	0.3077799882
669	0.307644266
670	0.3073163272
671	0.3069858462
672	0.306694719
673	0.3063478608
674	0.3060586202
675	0.3059084722
676	0.3057211314
677	0.3055253387
678	0.3053058559
679	0.3050796192
680	0.3047233332
681	0.3043987061
682	0.3040538113
683	0.3040196838
684	0.3039851047
685	0.30375709
686	0.3034177795
687	0.3033907428
688	0.3030437008
689	0.3027253407
690	0.3025092212
691	0.3022257595
692	0.3019422494
693	0.3019400368
694	0.3018214066
695	0.3016069063
696	0.3011347358
697	0.3009207299
698	0.3005446244
699	0.3002204802
700	0.2998587728
701	0.2998175287
702	0.2996671112
703	0.2993949449
704	0.2991373212
705	0.2988793207
706	0.2985653031
707	0.2984206349
708	0.298258283
709	0.2981166299
710	0.2979447674
711	0.2976959729
712	0.2974359489
713	0.2971296774
714	0.2970461079
715	0.2968636897
716	0.2966312138
717	0.2963462944
718	0.296161524
719	0.295861496
720	0.2956392238
721	0.2954626211
722	0.2951475784
723	0.2948079849
724	0.2944954622
725	0.2942758687
726	0.2940489049
727	0.2938973799
728	0.2935723786
729	0.2933050056
730	0.2930528441
731	0.2929691036
732	0.2929578975
733	0.2927502351
734	0.2925469782
735	0.2923395769
736	0.292194063
737	0.2920044398
738	0.2916853715
739	0.2914223966
740	0.291037032
741	0.2909129665
742	0.290584539
743	0.2901794976
744	0.2899331368
745	0.2897956591
746	0.2897729567
747	0.2893955965
748	0.2891497458
749	0.2888781012
750	0.2887490077
751	0.2885912878
752	0.2882326131
753	0.287952098
754	0.2876955073
755	0.2874656031
756	0.2871953795
757	0.2869822654
758	0.2869678639
759	0.2868560236
760	0.2865937802
761	0.2862953817
762	0.2862835622
763	0.2861731808
764	0.2859929695
765	0.2857613581
766	0.2855572042
767	0.2852748814
768	0.2851391445
769	0.2849134235
770	0.2847449783
771	0.2844262092
772	0.284237026
773	0.2840368932
774	0.2838712402
775	0.2836036132
776	0.2833984774
777	0.2833944177
778	0.2831136411
779	0.2831028812
780	0.2829741511
781	0.2827600936
782	0.2825557687
783	0.2824760137
784	0.2823881689
785	0.2821529852
786	0.2819191543
787	0.2817898014
788	0.2817337679
789	0.2815733596
790	0.2814304166
791	0.2812318871
792	0.2812043659
793	0.2809835982
794	0.2806355059
795	0.2806315695
796	0.2804884204
797	0.2802721918
798	0.2799804774
799	0.2797420986
800	0.2795340438
801	0.2792622675
802	0.2790618717
803	0.2790484628
804	0.278817384
805	0.2786477211
806	0.2785384963
807	0.2782736759
808	0.2780744222
809	0.2778555051
810	0.2776140655
811	0.2774043889
812	0.2772079914
813	0.2769875635
814	0.2769740355
815	0.2767852357
816	0.2765852565
817	0.2763837139
818	0.2761737664
819	0.2760193669
820	0.2759488002
821	0.2756685009
822	0.2753743133
823	0.2751467326
824	0.2749328514
825	0.2746378852
826	0.2744426029
827	0.2742860031
828	0.2740683418
829	0.2738172964
830	0.2735494056
831	0.2734044288
832	0.2730894446
833	0.2728209555
834	0.2726089016
835	0.2724672243
836	0.2724054636
837	0.2721854946
838	0.2721541478
839	0.2719463166
840	0.2716934895
841	0.2713644572
842	0.271156552
843	0.2709168419
844	0.2706507422
845	0.2705129585
846	0.2703667477
847	0.2702258146
848	0.2701423746
849	0.2698301401
850	0.2697251053
851	0.2694922525
852	0.26928057
853	0.2690744741
854	0.2689486378
855	0.2687688647
856	0.2685625765
857	0.2684350196
858	0.2681569846
859	0.2679594507
860	0.2677467673
861	0.2675603957
862	0.267345589
863	0.2672686814
864	0.267198544
865	0.267039363
866	0.266733496
867	0.2665206465
868	0.2662758786
869	0.2661793203
870	0.2660180161
871	0.2659066499
872	0.2657011549
873	0.2656483024
874	0.2654564491
875	0.2651252053
876	0.265114406
877	0.2648766686
878	0.2646343121
879	0.2644110885
880	0.2641920975
881	0.2639055693
882	0.26378709
883	0.2636198463
884	0.2633337527
885	0.2632111708
886	0.2630716452
887	0.2629603039
888	0.2629508219
889	0.2627526497
890	0.262638103
891	0.2624588699
892	0.2623375106
893	0.2623200136
894	0.2621256812
895	0.2619769958
896	0.261833776
897	0.2616695572
898	0.2615668668
899	0.2613868178
900	0.2612961973
901	0.261070106
902	0.2608294643
903	0.2605867596
904	0.2603870971
905	0.2603098702
906	0.2601133949
907	0.2598385716
908	0.2597354894
909	0.2595801009
910	0.2595337075
911	0.2593729433
912	0.2593643139
913	0.2592148462
914	0.2590634781
915	0.2588779933
916	0.2587396959
917	0.2585224831
918	0.2584647266
919	0.2582467919
920	0.2580374145
921	0.2578514946
922	0.2578250094
923	0.2576828806
924	0.2574998697
925	0.2573941809
926	0.2571523931
927	0.2568634967
928	0.2566789376
929	0.2564644291
930	0.25624082
931	0.2560009915
932	0.2559969114
933	0.2559402759
934	0.2557264148
935	0.2554320165
936	0.2553324267
937	0.2551161349
938	0.2548768723
939	0.254692588
940	0.2544149611
941	0.2542621403
942	0.2540587797
943	0.2539195091
944	0.2537338171
945	0.2535212484
946	0.2533820049
947	0.2532969152
948	0.2530295489
949	0.2529044394
950	0.2527348393
951	0.2524338122
952	0.2521817842
953	0.2520676269
954	0.2520253665
955	0.2518775588
956	0.2516635201
957	0.2514416106
958	0.2513880843
959	0.2512047139
960	0.2510808458
961	0.2509160349
962	0.2507547554
963	0.250589258
964	0.2503820257
965	0.2502350187
966	0.2500140838
967	0.2497252945
